review_title,review_detail,nickname,customer_id,product_id,status_code,rating,store_id,date
,I ordered the Max and couldn't believe how quickly my pain went away.  wow.,john,,16,1,5,1,28-02-2013 17:06
,"<strong>Very quickly provided relief from an acute cellulitis on my leg and foot. </strong>
I ordered EmuaidMAX after enduring five days of intense pain from a case of bacterial cellulitis. The product arrived the next day. I immediately applied the product and started feeling relief from the pain, which I can only describe as a really bad sunburn. I continued the antibiotics prescribed by my doctor and have kept my leg elevated. Each subsequent application of the product has seemed to really help accelerate the healing. I have been using it for three days and can see a big difference in the color (much less red) and the pain, diminished but not gone. The swelling has also reduced and I am much more comfortable. I wish I had the product on hand when first symptoms appeared, I think it would have reduced the severity significantly. I am going to tell my doctor about this when I see him again. I should note that I am usually skeptical about 'miracle' treatments. I will say that this product does seem to work as advertised. It provides quick releaf and is something I plan on having on hand for the future.",Jeffrey,,16,1,5,1,09-02-2013 16:03
,"<strong>Great product </strong> I have had a venuos leg ulcer for well over a year. Nothing i found helped at all. I spent allot of money on all kinds of products, and none of them worked at all. I started using emuaid, and within a week, most of the pain went away, but even better, the ulcer started to heal. Anyone who has a leg ulcer knows how bad, and how hard they are to heal. I urge anyone with this horrid infliction to buy this product. Use compression, and emuaid max. Your ulcer will heal.Three weeks ago, mine was 2 x 3  now it is almost gone.",David,,16,1,5,1,16-01-2013 16:04
,"<strong>THIS PRODUCT IS GREAT</strong>
MY HUSBAND HAD THREE BED SORES FOR OVER 3 MONTHS NOTHING ELSE HELPED HIM . WE HAD DOCTOR PERSCIRIBED MEDICINE IT DONE NOTHING, TRIED HOME REMEDY NOTHING HAPPENED , AN THANKS TO THIS EMUAID THEY ARE NEARLY HEALED. I WILL BE ORDERING MORE BUT THIS TIME I WILL BE GETTING THE EMUAID MAX THIS A GREAT PRODUCT AND THE SHIPPING WAS GOOD.
THANKS FOR EMUAID",Judy K,,16,1,5,1,20-12-2012 16:05
,"<strong>Fast service, fast results, just delighted!</strong> 
I could see a visible change for the better in my ankle within one hour of applying this product. It is a generous size, too, which makes the price more palatable.

I was unable to get my cellulitis to go away for MONTHS, but now it is on the way out in a very dramatic way. I had tried tea-tree oil, silver solution, grapefruit-seed extract, castor oil, bentonite clay, various homeopathics, cocoanut oil, even ghee! What a relief to find something that works and is easy and pleasant to use!",Sheila,,16,1,5,1,14-12-2012 16:05
,"This is the second time I have ordered. Original Emuaid worked well but just wasn't strong enough for my persistant cellulitis. This time I ordered the double strength. Could see the difference overnight. Have been using it on other first-aid issues too. 
Speedy arrivial also. Thanks",Lorraine,,16,1,5,1,03-03-2013 11:29
,"I am about to order the maximum strength first aid Ointment, after 1 day of using the product. I was not happy when I got a small amount of the product, However, the product is an answer to my prayers. It works excellent. I have cystic breast and cyst that becomes boils on my breast very rare condition. It is herediteral. Went on mission and some how the shots caused my rashes to explode and have left open sores. Nothing worked until now. Thank you for creating this product.",Yvette,,16,1,5,1,03-03-2013 11:35
,"I am a frequent user, and I thoroughly enjoy the use of the new Emuaid Max, and am pleased with the results.",JM,,16,1,5,1,05-03-2013 11:48
,I bought your EMUAIDMAx which works great.,James,,16,1,4,1,15-01-2013 11:49
,"I do not have a face book account so I cannot register to rate your product, which I would it  give 5 stars and a A+++++ rating to, the service was great, the product excellent and I will be purchasing more in the future.",Chrissy,,16,1,5,1,02-01-2013 12:23
